Position,Track Name,Artist,Streams,URL,album,date,explicit,features,acousticness,danceability,energy,key,loudness,speechiness,tempo,valence
1,I Love It (& Lil Pump),Kanye West,36147990,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ,I Love It,2018,True,Lil Pump,0.0114,0.901,0.522,2,-8.304,0.33,104.053,0.329
2,Lucky You (feat. Joyner Lucas),Eminem,26258824,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0,Kamikaze,2018,True,Joyner Lucas,0.0627,0.876,0.786,10,-4.884,0.306,153.068,0.575
3,In My Feelings,Drake,24669116,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ,Scorpion,2018,True,None,0.0589,0.835,0.626,1,-5.833,0.125,91.03,0.35
4,Eastside (with Halsey & Khalid),benny blanco,23630159,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao,Eastside (with Halsey & Khalid),2018,False,"Halsey, Khalid",0.555,0.56,0.68,6,-7.648,0.321,89.391,0.319
5,Promises (with Sam Smith),Calvin Harris,22310270,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg,Promises (with Sam Smith),2018,False,"Sam Smith, Jessie Reyez",0.0119,0.781,0.768,11,-5.991,0.0394,123.07,0.486
6,In My Mind,Dynoro,22288306,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,In My Mind,2018,False,Gigi D'Agostino,0.176,0.694,0.77,6,-5.335,0.149,125.905,0.163
7,Happier,Marshmello,22028299,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,Happier,2018,False,Bastille,0.191,0.687,0.792,5,-2.749,0.0452,100.015,0.671
8,Girls Like You (feat. Cardi B),Maroon 5,19773031,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,Red Pill Blues (Deluxe),2018,True,Cardi B,0.568,0.851,0.541,0,-6.825,0.0505,124.959,0.448
9,SICKO MODE,Travis Scott,19490524,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,ASTROWORLD,2018,True,None,0.00513,0.834,0.73,8,-3.714,0.222,155.008,0.446
10,Lucid Dreams,Juice WRLD,19291184,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf,Goodbye & Good Riddance,2018,True,None,0.349,0.511,0.566,6,-7.23,0.2,83.903,0.218
11,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,18765386,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB,FEFE (feat. Nicki Minaj & Murda Beatz),2018,True,"Nicki Minaj, Murda Beatz",0.088,0.931,0.387,1,-9.127,0.412,125.978,0.376
12,Be Alright,Dean Lewis,17708246,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm,Be Alright,2018,True,None,0.697,0.553,0.586,11,-6.319,0.0362,126.684,0.443
13,SAD!,XXXTENTACION,15950210,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,?,2018,True,None,0.258,0.74,0.613,8,-4.88,0.145,75.023,0.473
